StudentID ,SubjectID ,Grade ,Semester
6201012610036,010123102 ,D,1
6201012610036,010123130 ,C+,1
6201012610036,010403005 ,D,1
6201012610036,040203111 ,C+,1
6201012610036,040313005 ,B+,1
6201012610036,040313006 ,A,1
6201012610036,080103001 ,B+,1
6201012610036,080203901 ,C+,1
6201012610036,080303505 ,D+,1
6201012610036,010113010 ,F,2
6201012610036,010113011 ,A,2
6201012610036,010123103 ,C,2
6201012610036,010403006 ,C+,2
6201012610036,040203112 ,C+,2
6201012610036,040313007 ,C+,2
6201012610036,040313008 ,A,2
6201012610036,080103002 ,B,2
6201012610036,080303501 ,C+,2
6201012610036,010113010 ,D,3
6201012610036,010123106 ,C,3
6201012610036,010123107 ,D+,3
6201012610036,010123108 ,D+,3
6201012610036,010123131 ,C,3
6201012610036,010123133 ,D+,3
6201012610036,040313016 ,B+,3
6201012610036,010123114 ,D+,4
6201012610036,010123126 ,C,4
6201012610036,010123129 ,B,4
6201012610036,010123132 ,D+,4
6201012610036,010123134 ,D+,4
6201012610036,040203100 ,C,4
6201012610036,010123115 ,C,5
6201012610036,010123116 ,C,5
6201012610036,010123117 ,C,5
6201012610036,010123119 ,B,5
6201012610036,010123127 ,D,5
6201012610036,080103034 ,B,5
6201012620074,10123102,F,1
6201012620074,10123130,A,1
6201012620074,10403005,B,1
6201012620074,40203111,F,1
6201012620074,40313005,F,1
6201012620074,40313006,B+,1
6201012620074,80103001,C,1
6201012620074,80203901,B+,1
6201012620074,80303505,B,1
6201012620074,10113011,A,2
6201012620074,10403006,A,2
6201012620074,40203111,D+,2
6201012620074,40313005,C+,2
6201012620074,80103002,C+,2
6201012620074,80303103,B+,2
6201012620074,80303501,B,2
6201012620074,10123102,C+,3
6201012620074,10123105,D+,3
6201012620074,10123107,C,3
6201012620074,10123108,B+,3
6201012620074,40313007,D+,3
6201012620074,40313016,B,3
6201012620074,10113010,C,4
6201012620074,10123103,C+,4
6201012620074,10123126,B,4
6201012620074,10123129,A,4
6201012620074,40203112,C,4
6201012620074,40313008,A,4
6201012620074,10123106,F,5
6201012620074,10123133,D+,5
6201012620074,80103034,B,5
6201012620074,80303610,A,5
6201012620163,10123102,D,1
6201012620163,10123130,C+ ,1
6201012620163,10403005,B ,1
6201012620163,40203111,D+ ,1
6201012620163,40313005,C,1
6201012620163,40313006,B+,1
6201012620163,80103001,A,1
6201012620163,80203901,B+,1
6201012620163,80303505,C+ ,1
6201012620163,10113011,B+,2
6201012620163,10123103,C ,2
6201012620163,10403006,A,2
6201012620163,40203112,D+ ,2
6201012620163,40313007,C,2
6201012620163,40313008,A ,2
6201012620163,80103002,B+,2
6201012620163,80303501,B,2
6201012620163,10123105,C+ ,3
6201012620163,10123107,D+ ,3
6201012620163,10123108,B,3
6201012620163,10123131,D+ ,3
6201012620163,10123133,D,3
6201012620163,40313016,C+ ,3
6201012620163,10113010,C,4
6201012620163,10123126,B,4
6201012620163,10123129,A,4
6201012620163,10123132,B+,4
6201012620163,10123134,C+ ,4
6201012620163,40203100,B,4
6201012620163,10123106,F,5
6201012620163,10123116,C+ ,5
6201012620163,10123117,C,5
6201012620163,10123119,C+ ,5
6201012620163,10123127,C,5
6201012620163,80103034,B+,5
6201012620279,10123102,C+,1
6201012620279,10123130,B,1
6201012620279,10403005,A,1
6201012620279,40203111,B,1
6201012620279,40313005,B,1
6201012620279,40313006,B+,1
6201012620279,80103001,A,1
6201012620279,80203901,A,1
6201012620279,80303505,B,1
6201012620279,10113010,C+,2
6201012620279,10113011,B+,2
6201012620279,10123103,A,2
6201012620279,10403006,A,2
6201012620279,40203112,C+,2
6201012620279,40313007,B,2
6201012620279,40313008,A,2
6201012620279,80103002,B+,2
6201012620279,80303501,B,2
6201012620279,10123105,A,3
6201012620279,10123106,C+,3
6201012620279,10123107,B,3
6201012620279,10123108,A,3
6201012620279,10123131,B+,3
6201012620279,10123133,A,3
6201012620279,40313016,B,3
6201012620279,10123114,A,4
6201012620279,10123126,C,4
6201012620279,10123129,B+,4
6201012620279,10123132,A,4
6201012620279,10123134,A,4
6201012620279,40203100,A,4
6201012620279,10123115,A,5
6201012620279,10123116,B+,5
6201012620279,10123117,B+,5
6201012620279,10123119,A,5
6201012620279,10123127,C,5
6201012620279,80103018,B,5
6201012620279,80103034,B,5
6201012620341,010123102 ,D,1
6201012620341,010123130 ,D+,1
6201012620341,010403005  ,C+,1
6201012620341,040203111  ,F,1
6201012620341,040313005 ,D,1
6201012620341,040313006 ,C,1
6201012620341,080103001 ,C,1
6201012620341,080203901 ,B,1
6201012620341,080303505 ,B,1
6201012620341,010113011 ,B,2
6201012620341,010123103 ,C,2
6201012620341,010403006 ,A,2
6201012620341,040103111 ,D+,2
6201012620341,040313008 ,B,2
6201012620341,080103002 ,C,2
6201012620341,080303103,B+,2
6201012620341,080303501 ,C+,2
6201012620341,010123108 ,B,3
6201012620341,010123131 ,F,3
6201012620341,040203112  ,C,3
6201012620341,040313016 ,C,3
6201012620341,010123126 ,B,4
6201012620341,010123129 ,A,4
6201012620341,030923100 ,A,4
6201012620341,030953115 ,A,4
6201012620341,040203100 ,B,4
6201012620341,010113010 ,A,5
6201012620341,010123105 ,C+,5
6201012620341,010123106 ,F,5
6201012620341,010123107 ,C,5
6201012620341,010123133 ,C,5
6201012630096,10123102,B,1
6201012630096,10123130,A,1
6201012630096,10403005,A,1
6201012630096,40203111,B,1
6201012630096,40313005,B,1
6201012630096,40313006,A,1
6201012630096,80103001,A,1
6201012630096,80203901,A,1
6201012630096,80303505,B+,1
6201012630096,10113010,B,2
6201012630096,10113011,B+,2
6201012630096,10123103,B,2
6201012630096,10403006,A,2
6201012630096,40203112,A,2
6201012630096,40313007,B,2
6201012630096,40313008,A,2
6201012630096,80103002,B+,2
6201012630096,80303501,B,2
6201012630096,10123105,D+,3
6201012630096,10123106,C+,3
6201012630096,10123107,D,3
6201012630096,10123108,B+,3
6201012630096,10123131,C+,3
6201012630096,10123133,C,3
6201012630096,40313016,C+,3
6201012630096,10123114,D+,4
6201012630096,10123126,C+,4
6201012630096,10123129,B+,4
6201012630096,10123132,C+,4
6201012630096,10123134,C,4
6201012630096,40203100,A,4
6201012630096,10123115,B+,5
6201012630096,10123116,B+,5
6201012630096,10123117,C+,5
6201012630096,10123119,B+,5
6201012630096,10123127,C+,5
6201012630096,80103034,B,5
